句子,标签
你多大了，有过性生活吗？31就三年前有过现在一直没有,O O O O O O O O O O O O O O O O O O O O O O O O O O
一直在吃土,O O O O O
帮我查一下,O O O O O
现在阴囊表面憋气的时候有粗血管,O O B_part I_part O O O O O O O B_symptom I_symptom I_symptom I_symptom
就是精液种出现血液的情况，这个就是血精的症状出现原因呢？？,O O B_fluid I_fluid O B_symptom I_symptom I_symptom I_symptom O O O O O O O O B_symptom I_symptom O O O O O O O O O O
您这次咨询我是想要治疗改善这个问题吗？,O O O O O O O O O O O O O O O O O O O
你敢说你们医院不是骗钱的？摸着良心说,O O O O O O O O O O O O O O O O O O
阴茎增长手术费用,B_surgery I_surgery I_surgery I_surgery I_surgery I_surgery O O
好加了，你让他通过下吧,O O O O O O O O O O O
您好，,O O O
在曙光医院，治疗早泄的话，多少钱啊？,O O O O O O O O B_symptom I_symptom O O O O O O O O
不客气的杨先生您的手机是微信号吗？我加您您这边时间确定可以微信沟通帮你这边安排好不知道号码？是老婆办的,O O O O B_name I_name I_name O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
正常多久？,O O O O O
明天上午还有一个号位，下午有2个,B_datetime I_datetime I_datetime I_datetime O O O O O O O B_datetime I_datetime O O O
小便方面有没有不舒服比如尿频尿急尿不尽尿分叉尿黄有吗都有,O O O O O O O O O O O O B_symptom I_symptom B_symptom I_symptom B_symptom I_symptom I_symptom B_symptom I_symptom I_symptom B_symptom I_symptom O O O O
你好这个是会传染的，您现在是出现症状了吗，还接触艾滋病人了？,O O O O O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom O O O
好像我有包皮垢,O O O O B_symptom I_symptom I_symptom
心理阳痿，怎么办,B_symptom I_symptom I_symptom I_symptom O O O O
降压药能导致早泄吗,B_cause I_cause I_cause O O O B_symptom I_symptom O
请问药物控制吗,O O O O O O O
我建议你让你预约个专家援助号位,O O O O O O O O O O O O O O O
我和我女朋友同房后，下面毛痒是怎么回事呢,O O O O O O B_physiology I_physiology O O O O O B_symptom O O O O O O
我打出租车吧,O O O O O O
那如果怀孕做无痛人流多少钱,O O O B_physiology I_physiology O B_surgery I_surgery I_surgery I_surgery O O O
晚上尿涨醒三四次，但尿有不多,B_symptom I_symptom I_symptom I_symptom I_symptom B_frequency I_frequency I_frequency O O B_symptom I_symptom I_symptom I_symptom
微信恩，那您说下微信，我添加下您,O O O O O O O O O O O O O O O O
以前有，自从出现这种情况就没有了,O O O O O O O O O O O O O O O O
那我这种现在应该怎么治疗呢,O O O O O O O O O O O O O
做这个手术一共得花多少钱！检查61元，手术费用是根据你的检查结果来决定手术方式的，术后消炎一二百左右。,O O O O O O O O O O O O O O O B_price I_price I_price O O O O O O O O O O O O O O O O O O O O O O O O O O O B_price I_price I_price I_price I_price O
一个月回来一次？,B_datetime I_datetime I_datetime O O B_frequency I_frequency O
我就想问一下口服药吃什么药才好你是什么时候做的检查治疗的啊,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
有几个月了吧时不时的出现这种情况那这么长时间了，去医院检查治疗过吗？,O B_datetime I_datetime I_datetime O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
不发疼得厉害吗,O O B_symptom O O O O
两三分钟，又时还中途就软,B_datetime I_datetime I_datetime I_datetime O O O O B_symptom I_symptom I_symptom I_symptom
我下身发痒,O B_symptom I_symptom I_symptom I_symptom
我院有五大科室：性功能，前列腺，生殖感染，生殖整形，男性不育，您想了解哪方面呢？如果治疗了，费用能报销吗？,O O O O O O O O O O O O B_part I_part I_part O B_symptom I_symptom I_symptom I_symptom O B_surgery I_surgery I_surgery I_surgery O O O B_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O
你在哪个城市的？,O O O O O O O O
这样吧，您平时使用QQ还是微信呢？我添加你，给你说一下手术方式和一些注意事项，你也有个了解想要，主要是现在龟头炎范了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom O O
200够吗,B_price I_price I_price O O
我的敏感阀是一点多,O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
你好，今年多大年龄了，男性女性呢,O O O O O O O O O O O O O O O O
嗯早泄的发病因素不单纯也直接关系到后期的治疗问题,O B_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O
那您的这样情况要重视了咱们医院这样的情况很常见,O O O O O O O O O O O O O O O O O O O O O O O
还有一个口,O O O O O
不好意思医院,B_emotion I_emotion I_emotion I_emotion O O
我不想做爱吃什么药,O O O B_physiology I_physiology O O O O
20，在同房的时候,B_age I_age O O B_physiology I_physiology O O O
尿道口有出现红肿吗没有红肿就是有点痒,B_part I_part I_part O O O B_symptom I_symptom O O O O O O O B_symptom I_symptom I_symptom
发现这个情况多久了？,O O O O O O O O O O
白天一般中午这种情况比较明显立,O O O O B_datetime I_datetime O O O O O O O O O
坐公交怎么来？,O O O O O O O
龟头，下面一点,B_part I_part O O O O O
我不打飞机我就难受,O O B_cause I_cause I_cause O O B_emotion I_emotion
如果去医院会做什么检查,O O O O O O O O O O O
这种情况还是要及时重视起来，因为尿液中本身有大量细菌，排尿困难的话，肾会重新吸收尿液中的水分，那么就会给肾造成很大的危害是要去医院检查么,O O O O O O O O O O O O O O O O B_fluid I_fluid O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O O B_part O O O O O B_fluid I_fluid O O O O O O O O O O B_part O O O O O O O O O O O O O O O
这市面上卖的延时喷剂管用不？,O O O O O O O O O O O O O O
这两个月有检查看过吗，或者自己吃过药,B_datetime I_datetime I_datetime I_datetime O O O O O O O O O O O O O O
我的微信，是tawww75，，您可以加一下我,O O O O O O O O O O O O O O O O O O O O O O
这样吧，你的QQ或者微信是多少，我添加你，给你说一下治疗方式和注意事项，对你一定有帮助您好，有什么问题呢？请讲！,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
有不明白的可以具体的说下症状帮你指导。你好,O O O O O O O O O O O O O O O O O O O O O
做这个手术的多吗,O O O O O O O O
现在白发挺多，而且头发现在特别细，这个应该都是肾不好的原因吧,O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O O B_symptom O O O O O O O B_symptom I_symptom I_symptom O O O O
你多大了，具体是白色分泌物，还是白膜？,O O O O O O O O B_fluid I_fluid I_fluid I_fluid I_fluid O O O B_symptom I_symptom O
这方面检查花不了多少钱，针对你现在的情况可以预约我院现在的国家援助补贴检查，预约后这方面的检查是【11元】检查明确清楚才能针对性用药，这样也能彻底治愈,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_price I_price O O O O O O O O O O O O O O O O O O O O O O O O
您这样吧，因为没有看到您龟头部位的实际情况，您微信多少，我加您一下，你拍张局部的照片，我这边帮你看下，是不是龟头炎，龟头感染这种情况导致的,O O O O O O O O O O O O B_part I_part O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom O O O O O O O
还没有嗯，那您这个情况在没有治愈之前不要过性生活了。,O O O O O O O O O O O O O O O O O O O O O O O O O O
您现在多大年龄，这个症状出现多久了？30,O O O O O O O O O O O O O O O O O O B_age I_age
嗯，微信上说吧，我给你发个医院的位置加上你了,O O O O O O O O O O O O O O O O O O O O O O
全套多少钱,O O O O O
那我这用点什么药比较好像你这样的情况毕竟出现时间短用于种类多,O O O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom O O O O O
医生给你确诊的是什么？湿疹,O O O O O O O O O O O B_symptom I_symptom
有包皮，2分钟完事,B_symptom I_symptom I_symptom O B_datetime I_datetime I_datetime O O
就感觉龟头比以前有点大,O O O B_part I_part B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
检察费多少钱,O O O O O O
那你是系统自动回复，还是真实医生交流的？咱们这边不是系统回复的，我是今天的值班医生,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
目前咱们是勃而不坚，中途疲软，还是不能勃起呢,O O O O O B_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom O O O B_symptom I_symptom I_symptom I_symptom O
目前除了射精疼痛,O O O O B_symptom I_symptom I_symptom I_symptom
微信别加了你跟我说我直接过去吧,O O O O O O O O O O O O O O O
嗯，尿道口距离阴道口比较近的，有炎症感染刺激会出现泌尿系统感染，现在好像有点尿路感染,O O B_part I_part I_part O O B_part I_part I_part O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O B_symptom I_symptom I_symptom I_symptom
这个年纪了，什么原因都不会二次发育了,O O O O O O O O O O O O O O O O O O
费用在三百多，和八百多，两种,O O O B_price I_price O O O B_price I_price O O O O
恩，药物是你自己买的还是大夫开的,O O O O O O O O O O O O O O O O
早泄啥意思,B_symptom I_symptom O O O
早泄多少钱能治好,B_symptom I_symptom O O O O O O
私立医院还是国企呢？,O O O O O O O O O O
您这次咨询我是想要让我怎么帮你？我就是想问你怎么办,O O O O O O O O O O O O O O O O O O O O O O O O O
是不是跟性生活不节制有关系，有的时候连续四五次，，最少两次,O O O O B_cause I_cause I_cause I_cause I_cause I_cause O O O O O O O O O O O O O O O O O O O
翻不了嗯，这个属于包茎的情况了，是打算这两天做吗？,B_symptom I_symptom I_symptom O O O O O O B_symptom I_symptom O O O O O O O O B_datetime I_datetime I_datetime O O O
爱人很不满意我,O O O O O O O
那当时检查是什么病因导致的呢为什么没有治疗呢讲是前列腺炎,O O O O O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom
好像有，排卵的时候，有过两次,O O O O B_physiology I_physiology O O O O O O B_frequency I_frequency
恩，当时在哪个医院做的检查中医院,O O O O O O O O O O O O O O O O
qqwwwwwwww65，微信hawwwwww33，这是我的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
跟这个差不多，龟头边上有刺,O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
没有不知医院在那咱们医院地址在游仙区一环东路249号，财经学校对面。绵阳博大医院,O O O O O O O O O O O O O O O B_address I_address I_address O O O O O O O O O O O O O O O O O O O O O O
我问问你，哪样算早泄？,O O O O O O O O B_symptom I_symptom O
你是想要了解什么问题？1518237752615182377526你核对下,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
上次是正月十六来的，我每个月都会提前3，4天的，可是现在还没来，有点担心,O O O B_datetime I_datetime I_datetime I_datetime O O O O O O O O O O O B_datetime I_datetime I_datetime I_datetime O O O O O O O O O O O O B_emotion I_emotion
我这个跟乙肝有关系吗，我以前是大三阳，现在吃药是小三阳,O O O O B_symptom I_symptom O O O O O O O O O B_symptom I_symptom I_symptom O O O O O O B_symptom I_symptom I_symptom
一两年了是勃起不坚还是完全不能勃起呢？,B_datetime I_datetime I_datetime O O B_symptom I_symptom I_symptom I_symptom O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O
我开车过去怎么走,O O O O O O O O
导致男性出现龟头红点瘙痒的病因很多，我先了解清楚你的情况23岁，出现一天不到吧。,O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O B_age I_age I_age O O O B_datetime I_datetime O O O O
可以,O O
你之前有过手淫习惯吗？,O O O O O B_cause I_cause O O O O
你在哪家医院？那现在你咨询我是想让我怎么帮助你呢是不是性过的太多,O O O O O O O O O O O O O O O O O O O O O O O O O O O B_cause I_cause I_cause I_cause I_cause
您目前是在绵阳什么位置呢？江油,O O O O O B_address I_address O O O O O O B_address I_address
包皮过长，有没有不手术的办法?,B_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O
那你这是属于早泄了请问你多大年龄了,O O O O O O B_symptom I_symptom O O O O O O O O O
你好我的病是硬度不好阳痿,O O O O O O B_symptom I_symptom I_symptom I_symptom B_symptom I_symptom
不建议您盲目的用药，病因不明确，没有针对性，这样是没有治疗效果的，而且，毕竟是药三分毒的，还容易造成副作用，加重病情，增加以后的治疗难度,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
尿无力症状,B_symptom I_symptom I_symptom O O
严重吗需要怎么治疗,O O O O O O O O O
我尿一下看看,O O O O O O
那我多久可以恢复是的，咱们每天做包皮手术基本都在10个患者以上,O O O O O O O O O O O O O O O O B_surgery I_surgery I_surgery I_surgery O O O O O O O O O O O
多大年龄，性生活从进入到射精大概能维持几分钟？,O O O O O B_physiology I_physiology I_physiology O O O O B_physiology I_physiology O O O O O O O O O
